,0
0,2.0432577
1,2.0501761
2,2.0009475
3,2.1122444
4,2.0378006
5,2.1587975
6,2.103753
7,1.9606693
8,1.9259391
9,1.9746109
10,1.999114
11,1.961073
12,1.9108901
13,2.0358157
14,2.041115
15,1.919377
16,1.8838261
17,1.9927231
18,1.936893
19,2.0219996
20,2.053704
21,1.8334118
22,2.0339699
23,2.0287633
24,1.9221164
25,1.970326
26,1.8824402
27,1.8640486
28,1.8087085
29,1.9326411
30,1.9040294
31,1.9505703
32,1.9140487
33,1.8831059
34,1.8885442
35,2.0056264
36,1.9244506
37,1.9299283
38,1.9408969
39,1.946822
40,2.065701
41,1.856998
42,1.9033207
43,1.9740999
44,1.8876021
45,1.9309201
46,1.8420659
47,1.9063699
48,1.8320074
49,1.9197633
50,1.9564306
51,1.8439528
52,1.9129578
53,1.860492
54,1.9076647
55,1.8858687
56,1.8630762
57,1.9574997
58,1.8536005
59,1.969336
60,1.8488104
61,1.7699924
62,1.881509
63,1.955058
64,1.8083289
65,1.8463356
66,1.8685312
67,1.8501092
68,1.8857425
69,1.8550531
70,1.9816644
71,2.0871618
72,1.830333
73,1.856618
74,1.9351587
75,1.9197893
76,1.9112986
77,1.994989
78,1.845177
79,1.9075001
80,1.9832803
81,1.8788748
82,1.9138678
83,1.9517633
84,1.859831
85,2.0023992
86,1.8403913
87,2.019777
88,1.9481467
89,1.9867288
90,2.0029593
91,1.9736224
92,1.9552541
93,1.8118259
94,1.8270415
95,1.876503
96,1.8835672
97,1.9093521
98,1.8008252
99,1.9475769
100,1.9327258
101,1.865723
102,1.8275213
103,1.8271079
104,1.7913983
105,1.861746
106,1.9822335
107,1.9302863
108,1.8254263
109,1.9095095
110,1.9158036
111,1.9255261
112,1.8532438
113,1.9106209
114,1.9024823
115,1.8976562
116,1.8476236
117,1.9363675
118,1.9479861
119,1.8989518
120,1.8721728
121,1.8839407
122,1.98435
123,1.8541672
124,1.9106858
125,1.7972419
126,1.9218183
127,1.9568769
128,1.8377054
129,2.1001382
130,1.8348114
131,1.7833573
132,1.8795096
133,1.8278028
134,1.8798124
135,1.9636921
136,1.9746724
137,1.8932766
138,1.9569706
139,1.8641087
140,1.8713174
141,1.9075209
142,1.8191851
143,1.7828076
144,1.8399518
145,1.827106
146,1.9212601
147,1.9399574
148,2.0020003
149,1.9358916
150,1.944809
151,1.8810157
152,1.9081192
153,1.8933913
154,2.0280886
155,1.8780258
156,1.8370792
157,1.8507111
158,1.932511
159,1.8375858
160,1.9297454
161,1.892603
162,2.0076287
163,1.8561537
164,1.9445971
165,1.781688
166,1.88735
167,1.8846982
168,1.9203742
169,1.9854056
170,1.9596127
171,1.9565723
172,2.0095053
173,1.8959111
174,1.8788257
175,1.9681234
176,1.9093285
177,2.026619
178,1.9270294
179,1.926256
180,1.8987094
181,1.8330622
182,1.8487287
183,1.8308731
184,1.8207747
185,1.8220108
186,1.9416348
187,1.9004037
188,1.986048
189,1.9215909
190,2.1015813
191,2.1180491
192,1.7982498
193,1.8220781
194,1.9491735
195,2.000629
196,1.8614507
197,1.9117161
198,1.7876624
199,2.0076573
200,1.9008423
201,1.8518193
202,1.9323245
203,1.9404688
204,2.0068161
205,1.905147
206,1.8684511
207,1.8982544
208,1.8608277
209,1.931089
210,1.9600508
211,1.9487594
212,1.8802834
213,1.9035535
214,1.9293877
215,1.9245248
216,1.8225851
217,2.0183234
218,1.881884
219,1.9592983
220,1.8103225
221,1.8848562
222,2.0895722
223,1.9267389
224,1.972394
225,1.8461896
226,1.8760252
227,1.8854687
228,1.9144049
229,1.8577008
230,1.8151696
231,1.9917549
232,1.9102832
233,1.9513687
234,1.824369
235,2.0890865
236,1.8992591
237,1.9488302
238,1.7704974
239,1.9565827
240,1.965752
241,1.8516153
242,1.928058
243,1.8861934
244,1.8198341
245,1.8965847
246,1.8634807
247,1.916091
248,1.9522766
249,2.015931
